,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Eddie Nketiah,eng ENG,"MF,FW",Arsenal,19,1999,0.7,1,3,1,33.3,4.03,1.34,0.33,1,13.4,0,0,0,0.2,0.2,0.07,0.8,0.8,18,21,85.7,230,48,9,9,100,8,8,100,0,1,0,0,0.1,0.3,-0.1,1,0,1,0,1,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
Shinji Okazaki,jp JPN,"MF,FW",Leicester City,32,1986,3.2,0,5,4,80,1.56,1.25,0,0,16,0,0,0,0.6,0.6,0.11,-0.6,-0.6,70,96,72.9,750,170,48,58,82.8,8,14,57.1,3,6,50,1,0.1,0.2,0.9,1,2,1,0,7,5,5,2,3,0,0,1,0,1,7,1,6,2,7,1,0
Mesut Özil,de GER,"MF,FW",Arsenal,29,1988,19.3,5,11,6,54.5,0.57,0.31,0.45,0.83,13.7,0,0,0,1.7,1.7,0.16,3.3,3.3,1016,1177,86.3,14421,3797,593,656,90.4,293,328,89.3,60,87,69,2,4.1,5,-2.1,45,104,47,8,146,12,5,6,3,3,3,21,14.3,18,10,2,8,4,16,5,0
Ayoze Pérez,es ESP,"MF,FW",Newcastle Utd,25,1993,32.4,12,55,27,49.1,1.7,0.83,0.22,0.44,13.9,0,0,0,7.5,7.5,0.14,4.5,4.5,594,805,73.8,7784,2081,323,392,82.4,149,198,75.3,37,63,58.7,2,3.6,2.6,-1.6,45,46,25,3,82,59,22,24,28,7,17,63,27,46,55,4,51,42,101,33,1
Alex Pritchard,eng ENG,"MF,FW",Huddersfield,25,1993,23.1,2,47,13,27.7,2.03,0.56,0.04,0.15,20.3,1,0,0,2.7,2.7,0.06,-0.7,-0.7,691,981,70.4,10133,2557,406,481,84.4,200,280,71.4,48,109,44,0,1.8,1.6,-1.8,32,66,20,6,91,36,24,10,18,8,10,35,28.6,25,26,2,24,17,53,9,0
Nathan Redmond,eng ENG,"MF,FW",Southampton,24,1994,36.3,6,74,22,29.7,2.04,0.61,0.08,0.27,19.9,3,0,0,7.6,7.6,0.11,-1.6,-1.6,871,1205,72.3,13701,3495,477,583,81.8,283,364,77.7,72,143,50.3,4,4.7,5.6,-0.7,52,75,62,16,129,45,22,14,19,12,14,41,34.1,27,54,2,52,20,65,23,1
Jeffrey Schlupp,gh GHA,"MF,FW",Crystal Palace,25,1992,18.6,4,28,8,28.6,1.51,0.43,0.14,0.5,14.8,0,0,0,3.2,3.2,0.12,0.8,0.8,489,658,74.3,7239,2378,286,332,86.1,166,216,76.9,19,48,39.6,1,1.2,1,-0.2,16,55,13,3,77,41,20,18,18,5,10,27,37,17,30,8,22,19,60,27,1
Ken Sema,se SWE,"MF,FW",Watford,24,1993,8.4,1,12,3,25,1.43,0.36,0.08,0.33,17.3,0,0,0,0.8,0.8,0.07,0.2,0.2,173,248,69.8,2131,474,119,147,81,46,58,79.3,1,12,8.3,2,0.6,0.5,1.4,8,13,3,0,17,15,7,7,5,3,9,21,42.9,12,7,0,7,8,23,5,0
Bernardo Silva,pt POR,"MF,FW",Manchester City,23,1994,31.7,7,62,22,35.5,1.96,0.69,0.11,0.32,15.7,0,0,0,7.4,7.4,0.12,-0.4,-0.4,1515,1818,83.3,21234,4669,909,978,92.9,404,510,79.2,95,142,66.9,7,7.8,7.5,-0.8,71,87,59,7,156,52,39,18,21,13,16,67,23.9,51,47,3,44,25,77,26,1
Moussa Sissoko,fr FRA,"MF,FW",Tottenham,28,1989,25.9,0,15,3,20,0.58,0.12,0,0,24.7,0,0,0,0.9,0.9,0.06,-0.9,-0.9,1197,1404,85.3,17621,4136,677,752,90,386,439,87.9,81,111,73,3,2.5,1.8,0.5,25,91,13,3,97,36,25,18,14,4,15,29,51.7,14,31,4,27,16,52,25,2
Junior Stanislas,eng ENG,"MF,FW",Bournemouth,28,1989,11.5,2,33,9,27.3,2.88,0.79,0.03,0.11,21,10,1,1,3.1,2.3,0.07,-1.1,-1.3,405,548,73.9,5789,1986,247,288,85.8,122,155,78.7,22,49,44.9,3,2,2.3,1,15,28,22,1,58,12,6,5,4,3,3,7,42.9,4,8,1,7,2,14,15,0
Denis Suárez,es ESP,"MF,FW",Arsenal,24,1994,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,32,36,88.9,378,53,20,20,100,8,9,88.9,1,1,100,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,5,0,5,0,0,0,1,2,0,0
Sam Surridge,eng ENG,"MF,FW",Bournemouth,20,1998,0.1,0,2,1,50,13.85,6.92,0,0,13.3,0,0,0,0.3,0.3,0.17,-0.3,-0.3,3,5,60,36,0,1,2,50,1,1,100,0,0,,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
Joe Willock,eng ENG,"MF,FW",Arsenal,18,1999,0.7,0,2,0,0,2.81,0,0,,17.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,12,15,80,191,28,7,7,100,2,3,66.7,2,2,100,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,,0,1,0,1,1,2,0,0
Andriy Yarmolenko,ua UKR,"MF,FW",West Ham,28,1989,5.1,2,9,3,33.3,1.76,0.59,0.22,0.67,17.1,0,0,0,1.1,1.1,0.12,0.9,0.9,167,214,78,2398,562,89,104,85.6,52,66,78.8,12,20,60,0,0.8,0.8,-0.8,5,8,9,0,22,4,1,2,1,1,4,6,66.7,2,4,1,3,2,6,4,2
Ryan Sessegnon,eng ENG,"FW,DF",Fulham,18,2000,25.6,2,28,11,39.3,1.1,0.43,0.07,0.18,14.9,0,0,0,4,4,0.14,-2,-2,567,820,69.1,8572,2961,312,379,82.3,205,290,70.7,28,79,35.4,6,3.8,2.9,2.2,33,31,12,1,57,22,14,8,8,6,6,22,27.3,16,25,2,23,19,41,49,1
Dele Alli,eng ENG,MF,Tottenham,22,1996,20.3,5,39,19,48.7,1.92,0.94,0.13,0.26,14.4,0,0,0,4.8,4.8,0.12,0.2,0.2,836,1056,79.2,11782,2868,495,564,87.8,265,325,81.5,33,63,52.4,3,3.1,2.2,-0.1,27,67,29,1,111,33,19,6,14,13,5,24,20.8,19,33,5,28,19,52,20,0
Miguel Almirón,py PAR,MF,Newcastle Utd,24,1994,8.4,0,19,8,42.1,2.25,0.95,0,0,20.1,0,0,0,1.5,1.5,0.08,-1.5,-1.5,188,263,71.5,2883,752,98,125,78.4,54,74,73,21,28,75,0,0.6,0.8,-0.6,13,21,12,7,25,20,12,7,10,3,4,10,40,6,14,1,13,8,28,5,0
Luke Amos,eng ENG,MF,Tottenham,21,1997,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,3,33.3,9,6,1,2,50,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
Stuart Armstrong,sct SCO,MF,Southampton,26,1992,15.9,3,32,12,37.5,2.01,0.75,0.09,0.25,21.8,0,0,0,2,2,0.06,1,1,492,648,75.9,7511,1972,256,315,81.3,175,200,87.5,36,58,62.1,2,1.5,1,0.5,29,61,22,1,86,28,20,14,6,8,8,42,19,34,14,0,14,12,40,12,0
Harry Arter,ie IRL,MF,Cardiff City,28,1989,22.2,0,23,4,17.4,1.04,0.18,0,0,23.6,0,0,0,0.9,0.9,0.04,-0.9,-0.9,539,680,79.3,8935,2551,275,319,86.2,196,241,81.3,49,80,61.3,1,0.5,1.2,0.5,10,59,21,6,73,62,37,27,26,9,16,46,34.8,30,33,5,28,21,83,21,2
Christian Atsu,gh GHA,MF,Newcastle Utd,26,1992,16.6,1,28,14,50,1.69,0.84,0.04,0.07,19.6,0,0,0,2.1,2.1,0.08,-1.1,-1.1,328,435,75.4,4232,941,180,199,90.5,76,121,62.8,21,35,60,0,1.6,0.9,-1.6,18,17,16,7,31,24,15,9,11,4,5,16,31.3,11,13,3,10,7,31,16,0
Leandro Bacuna,cw CUW,MF,Cardiff City,26,1991,6.2,0,5,1,20,0.8,0.16,0,0,27.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,105,163,64.4,1847,753,57,71,80.3,33,52,63.5,12,27,44.4,0,0.1,0.1,-0.1,1,14,2,1,16,15,10,5,7,3,8,22,36.4,14,5,2,3,15,30,9,0
Ross Barkley,eng ENG,MF,Chelsea,24,1993,13.8,3,41,9,22,2.96,0.65,0.07,0.33,19.9,1,0,0,4,4,0.1,-1,-1,877,971,90.3,13357,2609,496,529,93.8,275,301,91.4,64,72,88.9,5,2.1,1.8,2.9,22,66,18,1,90,15,10,5,7,3,4,14,28.6,10,8,1,7,9,24,17,2
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,27,1990,19.5,3,33,9,27.3,1.7,0.46,0.09,0.33,20,7,0,0,2.8,2.8,0.09,0.2,0.2,397,620,64,6549,2207,217,267,81.3,110,168,65.5,53,128,41.4,6,4.3,3.6,1.7,37,24,20,12,39,27,11,14,10,3,16,34,47.1,18,25,4,21,33,60,34,0
Philip Billing,dk DEN,MF,Huddersfield,22,1996,24.3,2,42,9,21.4,1.73,0.37,0.05,0.22,23.7,3,0,0,1.8,1.8,0.04,0.2,0.2,909,1261,72.1,16703,4691,408,489,83.4,330,455,72.5,136,236,57.6,0,1.7,1.1,-1.7,22,69,16,9,101,73,44,26,39,8,19,42,45.2,23,57,16,41,53,126,43,0
Yves Bissouma,ml MLI,MF,Brighton,21,1996,19.7,0,31,3,9.7,1.57,0.15,0,0,26.1,3,0,0,1.8,1.8,0.06,-1.8,-1.8,588,730,80.5,8848,2018,338,384,88,194,234,82.9,38,66,57.6,0,1,0.9,-1,13,50,11,0,83,62,30,33,27,2,20,38,52.6,18,21,5,16,33,95,29,2
Robbie Brady,ie IRL,MF,Burnley,26,1992,8,0,12,2,16.7,1.5,0.25,0,0,22.2,2,0,0,0.6,0.6,0.05,-0.6,-0.6,157,288,54.5,2587,972,88,113,77.9,43,76,56.6,19,68,27.9,1,1.4,1.3,-0.4,13,19,10,4,19,15,7,5,5,5,6,17,35.3,11,7,1,6,7,22,18,1
Víctor Camarasa,es ESP,MF,Cardiff City,24,1994,28.5,5,40,11,27.5,1.4,0.39,0.1,0.36,23.6,5,1,1,4,3.2,0.1,1,0.8,710,1017,69.8,12178,3357,343,419,81.9,227,300,75.7,100,197,50.8,4,3.8,4,0.2,50,63,21,6,77,28,15,8,15,5,6,31,19.4,25,17,2,15,33,61,28,1
Étienne Capoue,fr FRA,MF,Watford,30,1988,32.7,1,18,4,22.2,0.55,0.12,0.06,0.25,26.7,5,0,0,1.4,1.4,0.08,-0.4,-0.4,1480,1764,83.9,25515,7490,719,804,89.4,552,645,85.6,163,238,68.5,3,1,1,2,10,133,14,1,170,91,56,36,48,7,33,87,37.9,54,50,13,37,85,176,96,1
Nathaniel Chalobah,eng ENG,MF,Watford,23,1994,3,0,2,1,50,0.67,0.33,0,0,23.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,85,115,73.9,1251,460,47,56,83.9,30,37,81.1,4,9,44.4,0,0.3,0.1,-0.3,1,7,1,1,8,3,2,1,2,0,2,7,28.6,5,2,1,1,5,8,7,0
Hamza Choudhury,bd BAN,MF,Leicester City,20,1997,6.6,0,4,2,50,0.61,0.3,0,0,19.6,0,0,0,0.5,0.5,0.12,-0.5,-0.5,205,244,84,3402,757,95,112,84.8,89,93,95.7,15,23,65.2,0,0.4,0.2,-0.4,5,23,2,1,21,24,10,13,10,1,9,15,60,6,12,3,9,15,39,13,0
Ibrahima Cissé,gn GUI,MF,Fulham,24,1994,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,29,34,85.3,394,158,19,21,90.5,9,11,81.8,1,2,50,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,3,3,4,0
Tom Cleverley,eng ENG,MF,Watford,28,1989,5.3,1,4,2,50,0.75,0.38,0.25,0.5,22.4,1,0,0,0.2,0.2,0.06,0.8,0.8,175,225,77.8,2550,719,92,111,82.9,53,65,81.5,15,24,62.5,0,0.1,0.2,-0.1,1,18,4,1,17,17,9,11,4,2,6,22,27.3,16,4,0,4,5,22,11,0
Lewis Cook,eng ENG,MF,Bournemouth,21,1997,8,0,4,0,0,0.5,0,0,,25.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,329,407,80.8,5864,1568,146,166,88,144,168,85.7,33,52,63.5,0,0.1,0.3,-0.1,2,27,6,0,48,13,6,6,7,0,8,19,42.1,11,8,2,6,8,21,7,1
Jack Cork,eng ENG,MF,Burnley,29,1989,36.8,1,17,2,11.8,0.46,0.05,0.06,0.5,16.6,0,0,0,1.4,1.4,0.08,-0.4,-0.4,1083,1348,80.3,17655,3998,537,619,86.8,378,458,82.5,104,169,61.5,2,2.2,1.6,-0.2,18,105,18,3,99,51,27,12,34,5,18,46,39.1,28,39,16,23,29,80,82,2
Matty Daly,eng ENG,MF,Huddersfield,17,2001,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,7,13,53.8,57,11,6,8,75,0,2,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Loïc Damour,fr FRA,MF,Cardiff City,27,1991,0.3,0,1,0,0,3.91,0,0,,27.4,0,0,0,0,0,0.03,0,0,8,12,66.7,220,22,2,2,100,3,5,60,3,3,100,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Tom Davies,eng ENG,MF,Everton,20,1998,10.9,0,7,2,28.6,0.64,0.18,0,0,18.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,406,515,78.8,6619,1661,210,243,86.4,133,165,80.6,42,63,66.7,0,0.5,0.5,-0.5,5,47,9,0,55,27,17,9,17,1,7,23,30.4,16,15,1,14,16,43,9,1
Steven Davis,nir NIR,MF,Southampton,33,1985,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,65,69,94.2,1214,435,30,32,93.8,25,26,96.2,9,10,90,1,0.5,0.5,0.5,3,11,3,1,7,2,2,0,2,0,0,0,,0,2,0,2,1,3,5,0
Kevin De Bruyne,be BEL,MF,Manchester City,27,1991,10.8,2,31,12,38.7,2.86,1.11,0.06,0.17,23.9,3,0,0,1.4,1.4,0.04,0.6,0.6,635,834,76.1,10980,3097,297,334,88.9,240,294,81.6,73,135,54.1,2,5.7,3.3,-3.7,36,67,44,7,109,22,15,6,12,4,7,21,33.3,14,13,1,12,3,25,2,1
Steven Defour,be BEL,MF,Burnley,30,1988,5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,203,255,79.6,3685,989,79,89,88.8,88,102,86.3,26,46,56.5,0,0.1,0.2,-0.1,2,21,3,0,23,8,4,2,4,2,3,14,21.4,11,11,3,8,8,16,7,0
Mousa Dembélé,be BEL,MF,Tottenham,31,1987,5.7,0,1,0,0,0.17,0,0,,27.5,0,0,0,0,0,0.03,0,0,277,309,89.6,4098,936,150,165,90.9,108,119,90.8,11,12,91.7,0,0,0.1,0,0,16,1,0,16,13,9,6,6,1,4,7,57.1,3,4,1,3,7,20,5,2
Leander Dendoncker,be BEL,MF,Wolves,23,1995,16.3,2,17,10,58.8,1.04,0.61,0.12,0.2,14.1,0,0,0,3.4,3.4,0.21,-1.4,-1.4,484,615,78.7,6802,1544,266,306,86.9,155,192,80.7,24,34,70.6,0,1.2,0.9,-1.2,7,26,4,1,44,53,26,25,25,3,16,47,34,31,35,6,29,23,76,34,1
Mohamed Diamé,sn SEN,MF,Newcastle Utd,31,1987,24.1,0,20,3,15,0.83,0.12,0,0,23.5,0,0,0,1,1,0.05,-1,-1,569,749,76,9103,2289,288,347,83,180,219,82.2,60,111,54.1,0,0.1,0.3,-0.1,2,44,8,1,58,76,46,35,36,5,16,54,29.6,38,42,9,33,30,106,39,1
Abdoulaye Doucouré,ml MLI,MF,Watford,25,1993,34,5,52,16,30.8,1.53,0.47,0.1,0.31,17.6,0,0,0,6.2,6.2,0.13,-1.2,-1.2,1622,1963,82.6,24439,6590,860,990,86.9,568,647,87.8,109,160,68.1,6,4.7,2.7,1.3,38,135,33,2,202,71,38,27,32,12,19,57,33.3,38,31,8,23,34,105,55,5
Harvey Elliott,eng ENG,MF,Fulham,15,2003,0.2,0,1,1,100,4.5,4.5,0,0,16.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,10,11,90.9,154,30,5,6,83.3,5,5,100,0,0,,0,0,0.1,0,0,1,1,0,2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Mohamed Elneny,eg EGY,MF,Arsenal,26,1992,4.2,0,7,0,0,1.66,0,0,,17.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,256,286,89.5,4582,1268,116,127,91.3,105,113,92.9,31,35,88.6,0,0.2,0.1,-0.2,5,15,5,0,31,13,4,9,1,3,1,2,50,1,7,4,3,2,15,8,0
Mohamed Elyounoussi,no NOR,MF,Southampton,23,1994,8.8,0,20,6,30,2.27,0.68,0,0,18,0,0,0,2.1,2.1,0.1,-2.1,-2.1,178,273,65.2,2658,764,105,128,82,43,71,60.6,17,38,44.7,0,1.1,1.1,-1.1,14,14,7,2,20,16,12,7,6,3,6,19,31.6,13,11,1,10,6,22,5,0
Christian Eriksen,dk DEN,MF,Tottenham,26,1992,30.8,8,83,28,33.7,2.69,0.91,0.1,0.29,23.3,12,0,0,5.4,5.4,0.07,2.6,2.6,1560,2009,77.7,25001,7140,807,918,87.9,568,713,79.7,124,239,51.9,12,7.4,7.7,4.6,73,167,56,14,212,41,25,8,20,13,17,59,28.8,42,26,3,23,15,56,13,0
Fabinho,br BRA,MF,Liverpool,24,1993,22.4,1,17,4,23.5,0.76,0.18,0.06,0.25,24.2,0,0,0,1,1,0.06,0,0,1381,1627,84.9,23150,6053,639,716,89.2,592,663,89.3,106,169,62.7,2,1.8,1.6,0.2,16,128,21,3,130,59,31,17,38,4,24,59,40.7,35,34,6,28,28,87,27,2
Cesc Fàbregas,es ESP,MF,Chelsea,31,1987,2,0,1,0,0,0.5,0,0,,17.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,169,198,85.4,2799,983,88,94,93.6,66,75,88,15,25,60,0,0.2,0.7,-0.2,3,20,4,0,21,6,4,4,2,0,1,5,20,4,2,1,1,1,7,0,0
Marouane Fellaini,be BEL,MF,Manchester Utd,30,1987,8.4,0,7,3,42.9,0.84,0.36,0,0,15.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,347,434,80,5074,1496,186,220,84.5,118,135,87.4,16,26,61.5,1,0.4,0.3,0.6,3,30,3,1,36,21,13,11,9,1,9,17,52.9,8,9,5,4,4,25,34,1
Fernandinho,br BRA,MF,Manchester City,33,1985,26.4,1,30,7,23.3,1.14,0.27,0.03,0.14,23.2,0,0,0,1.6,1.6,0.05,-0.6,-0.6,1799,2070,86.9,28891,8480,854,927,92.1,743,834,89.1,120,167,71.9,3,3,3.7,0,22,244,38,0,236,57,43,19,30,8,26,47,55.3,21,28,4,24,41,98,70,0
Phil Foden,eng ENG,MF,Manchester City,18,2000,3.7,1,14,6,42.9,3.76,1.61,0.07,0.17,15.5,0,0,0,2.1,2.1,0.15,-1.1,-1.1,202,237,85.2,2403,413,113,127,89,52,58,89.7,7,9,77.8,0,0.9,1.1,-0.9,8,14,7,1,18,7,6,1,3,3,2,9,22.2,7,1,0,1,4,11,1,0
Fred,br BRA,MF,Manchester Utd,25,1993,11.6,1,17,2,11.8,1.47,0.17,0.06,0.5,25.3,1,0,0,0.8,0.8,0.05,0.2,0.2,673,791,85.1,12069,3141,289,326,88.7,271,297,91.2,82,109,75.2,1,1,0.7,0,12,76,4,2,73,29,17,12,16,1,15,33,45.5,18,26,2,24,16,45,14,2
Idrissa Gana Gueye,sn SEN,MF,Everton,28,1989,31.4,0,19,4,21.1,0.61,0.13,0,0,24.3,0,0,0,0.6,0.6,0.03,-0.6,-0.6,1472,1761,83.6,25437,7160,656,764,85.9,585,654,89.4,161,220,73.2,2,0.8,1.4,1.2,18,177,18,3,216,142,89,70,63,9,38,76,50,38,52,8,44,74,216,48,1
James Garner,eng ENG,MF,Manchester Utd,17,2001,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
André Gomes,pt POR,MF,Everton,25,1993,22,1,21,5,23.8,0.95,0.23,0.05,0.2,21.3,0,0,0,1.6,1.6,0.08,-0.6,-0.6,1026,1224,83.8,18846,4548,446,508,87.8,407,468,87,136,184,73.9,1,0.6,1.1,0.4,6,106,19,1,145,39,23,12,24,3,13,59,22,46,27,4,23,20,59,18,0
Dan Gosling,eng ENG,MF,Bournemouth,28,1990,19.3,2,21,7,33.3,1.09,0.36,0.1,0.29,18.5,0,0,0,1.9,1.9,0.09,0.1,0.1,776,980,79.2,13014,4255,374,431,86.8,314,375,83.7,69,119,58,1,1.5,1.2,-0.5,11,80,13,1,116,57,23,27,21,9,28,53,52.8,25,33,11,22,20,77,46,1
Mattéo Guendouzi,fr FRA,MF,Arsenal,19,1999,23.9,0,16,4,25,0.67,0.17,0,0,24.4,0,0,0,0.6,0.6,0.04,-0.6,-0.6,1409,1625,86.7,24166,6699,647,707,91.5,590,648,91,129,170,75.9,0,1.8,2.4,-1.8,17,142,23,1,200,44,26,18,23,3,17,47,36.2,30,28,5,23,30,74,24,3
İlkay Gündoğan,de GER,MF,Manchester City,27,1990,23.7,6,43,11,25.6,1.81,0.46,0.14,0.55,19.5,2,0,0,4.1,4.1,0.09,1.9,1.9,1845,2108,87.5,28190,6355,970,1030,94.2,628,701,89.6,140,218,64.2,3,4.3,5.2,-1.3,43,184,46,5,205,19,12,4,12,3,6,31,19.4,25,12,3,9,28,47,19,1
Aron Gunnarsson,is ISL,MF,Cardiff City,29,1989,25.2,1,20,4,20,0.79,0.16,0.05,0.25,22.2,0,0,0,2,2,0.1,-1,-1,600,921,65.1,11209,4352,228,293,77.8,274,383,71.5,77,194,39.7,1,1.6,0.8,-0.6,16,67,10,2,85,51,29,23,25,3,23,84,27.4,61,40,12,28,38,89,55,1
Kadeem Harris,eng ENG,MF,Cardiff City,25,1993,4.2,1,5,3,60,1.2,0.72,0.2,0.33,16.4,0,0,0,0.5,0.5,0.11,0.5,0.5,66,104,63.5,954,204,41,58,70.7,19,26,73.1,4,9,44.4,0,0.4,0.3,-0.4,6,1,6,3,5,12,5,6,4,2,7,8,87.5,1,3,0,3,3,15,5,0
Isaac Hayden,jm JAM,MF,Newcastle Utd,23,1995,20.7,1,22,5,22.7,1.07,0.24,0.05,0.2,22.2,0,0,0,0.9,0.9,0.04,0.1,0.1,586,749,78.2,8474,1873,329,384,85.7,171,213,80.3,41,66,62.1,4,2.3,1.7,1.7,22,44,7,2,54,73,43,19,45,9,23,41,56.1,18,32,4,28,40,113,30,0
Jordan Henderson,eng ENG,MF,Liverpool,28,1990,22.1,1,16,1,6.3,0.72,0.05,0.06,1,18.8,0,0,0,1.5,1.5,0.09,-0.5,-0.5,1553,1815,85.6,27538,6348,681,741,91.9,620,695,89.2,196,277,70.8,3,1.8,2.2,1.2,15,158,23,5,160,46,36,20,22,4,16,39,41,23,27,3,24,30,76,17,0
Ander Herrera,es ESP,MF,Manchester Utd,28,1989,15.6,2,21,8,38.1,1.35,0.51,0.1,0.25,20.1,0,0,0,1.3,1.3,0.06,0.7,0.7,862,990,87.1,12841,3843,467,496,94.2,297,332,89.5,48,74,64.9,3,1.6,1.4,1.4,15,70,10,1,93,54,28,24,22,8,21,61,34.4,40,38,6,32,37,91,25,1
Jonathan Hogg,eng ENG,MF,Huddersfield,29,1988,26.3,0,8,1,12.5,0.3,0.04,0,0,20.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,1289,1556,82.8,22062,5783,602,682,88.3,523,601,87,127,197,64.5,1,0.8,1.1,0.2,16,127,14,1,147,78,41,18,51,9,27,69,39.1,42,46,7,39,73,151,19,1
Will Hughes,eng ENG,MF,Watford,23,1995,26.9,2,31,7,22.6,1.15,0.26,0.06,0.29,17.2,0,0,0,2.5,2.5,0.08,-0.5,-0.5,736,991,74.3,8975,3068,466,555,84,158,227,69.6,27,50,54,4,2.6,2.3,1.4,28,70,24,2,102,74,43,27,35,12,25,59,42.4,34,55,6,49,25,99,30,0
Emerson Hyndman,us USA,MF,Bournemouth,22,1996,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,16,23,69.6,235,33,8,9,88.9,6,9,66.7,1,1,100,0,0,0,0,0,2,0,0,2,6,2,6,0,0,2,3,66.7,1,0,0,0,1,7,0,0
Pierre Højbjerg,dk DEN,MF,Southampton,22,1995,30.7,4,53,19,35.8,1.73,0.62,0.08,0.21,24.2,2,0,0,2.6,2.6,0.05,1.4,1.4,1503,1835,81.9,26339,6812,728,814,89.4,582,697,83.5,157,238,66,3,2.4,2.3,0.6,27,204,17,5,204,71,49,20,44,7,24,73,32.9,49,51,8,43,60,131,30,1
Vicente Iborra,es ESP,MF,Leicester City,30,1988,2.5,0,2,1,50,0.79,0.39,0,0,10.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,127,147,86.4,2433,649,55,63,87.3,42,45,93.3,26,30,86.7,0,0.1,0.2,-0.1,1,18,1,0,16,4,1,1,3,0,0,7,0,7,1,0,1,8,12,4,1
Stefan Johansen,no NOR,MF,Fulham,27,1991,4.6,0,1,0,0,0.22,0,0,,33.2,1,0,0,0.1,0.1,0.05,-0.1,-0.1,202,261,77.4,3240,1190,116,134,86.6,59,74,79.7,20,34,58.8,0,0.1,0.2,-0.1,1,25,3,1,36,11,3,4,7,0,5,8,62.5,3,5,0,5,3,14,6,0
Tyreke Johnson,eng ENG,MF,Southampton,19,1998,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jorginho,it ITA,MF,Chelsea,26,1991,35.1,2,18,6,33.3,0.51,0.17,0.06,0.17,26.2,0,1,1,1.4,0.6,0.03,0.6,0.4,2785,3133,88.9,40201,13193,1611,1729,93.2,898,1005,89.4,153,204,75,0,3.2,5.2,-3.2,29,336,44,1,323,76,38,27,41,8,45,96,46.9,51,46,7,39,64,140,38,1
N'Golo Kanté,fr FRA,MF,Chelsea,27,1991,34.4,4,29,6,20.7,0.84,0.17,0.14,0.67,18.3,0,0,0,2.9,2.9,0.1,1.1,1.1,1789,2056,87,23900,5492,1100,1196,92,507,562,90.2,70,91,76.9,4,3.5,3.5,0.5,46,144,33,6,178,75,41,21,41,13,23,67,34.3,44,63,6,57,44,119,32,1
Beram Kayal,il ISR,MF,Brighton,30,1988,10.4,1,5,2,40,0.48,0.19,0.2,0.5,19.9,0,0,0,0.4,0.4,0.08,0.6,0.6,194,283,68.6,3007,919,105,129,81.4,76,101,75.2,9,35,25.7,1,1.1,0.4,-0.1,4,20,3,1,32,28,17,16,11,1,5,21,23.8,16,17,10,7,15,43,25,0
Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,28,1989,21.1,0,20,8,40,0.95,0.38,0,0,21.2,0,0,0,1.1,1.1,0.06,-1.1,-1.1,622,781,79.6,9351,3218,335,393,85.2,223,274,81.4,34,57,59.6,2,1.1,0.9,0.9,14,72,6,1,86,59,33,23,31,5,9,33,27.3,24,29,11,18,16,75,33,0
