,,,,,,,Standart,,,,,,,,,,,,Expected,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Player,Nation,Pos,Squad,Age,Born,90s Played,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Avg Shot Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Sam Surridge,eng ENG,"FW,MF",Bournemouth,21,1998,0.3,0,2,0,0,6.67,0,0,,11.9,0,0,0,0.5,0.5,0.26,-0.5,-0.5,5,11,45.5,72,21,2,6,33.3,3,4,75,0,0,,0,0.1,0,-0.1,1,1,1,0,2,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Andros Townsend,eng ENG,"FW,MF",Crystal Palace,28,1991,14.4,1,12,5,41.7,0.83,0.35,0.08,0.2,26.1,1,0,0,0.4,0.4,0.03,0.6,0.6,328,473,69.3,4834,1596,193,217,88.9,99,137,72.3,19,70,27.1,1,1.9,2,-0.9,13,23,24,12,44,34,21,12,17,5,15,37,40.5,22,18,0,18,15,49,10,1
Trézéguet,eg EGY,"FW,MF",Aston Villa,24,1994,21.7,6,50,17,34,2.31,0.78,0.12,0.35,17.4,4,0,0,4.7,4.7,0.09,1.3,1.3,291,441,66,4192,1096,174,210,82.9,80,137,58.4,21,46,45.7,1,1,1.2,0,21,19,13,7,37,38,16,18,15,5,9,44,20.5,35,23,2,21,25,63,18,0
Leandro Trossard,be BEL,"FW,MF",Brighton,24,1994,22.3,5,41,11,26.8,1.83,0.49,0.12,0.45,16,0,0,0,5,5,0.12,0,0,562,802,70.1,9853,2867,265,337,78.6,214,290,73.8,65,105,61.9,3,3.9,3,-0.9,42,51,30,4,95,22,17,7,12,3,6,38,15.8,32,16,1,15,9,31,8,0
Indiana Vassilev,us USA,"FW,MF",Aston Villa,18,2001,0.6,0,1,0,0,1.76,0,0,,21.9,0,0,0,0,0,0.03,0,0,8,12,66.7,89,4,5,5,100,2,2,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Danny Welbeck,eng ENG,"FW,MF",Watford,28,1990,9.1,2,22,9,40.9,2.41,0.99,0.09,0.22,11,0,0,0,3.9,3.9,0.18,-1.9,-1.9,125,168,74.4,1459,320,80,101,79.2,34,45,75.6,2,3,66.7,0,0.2,0.2,-0.2,3,8,3,0,10,14,6,6,5,3,3,11,27.3,8,12,1,11,5,19,7,0
Connor Wickham,eng ENG,"FW,MF",Crystal Palace,26,1993,1.1,1,3,2,66.7,2.81,1.87,0.33,0.5,11.2,0,0,0,1.4,1.4,0.46,-0.4,-0.4,28,47,59.6,398,75,18,27,66.7,7,14,50,2,3,66.7,1,0.6,0,0.4,3,3,1,0,6,1,1,1,0,0,0,0,,0,1,0,1,1,2,0,0
Willian,br BRA,"FW,MF",Chelsea,30,1988,28.9,9,67,25,37.3,2.32,0.87,0.07,0.2,20,9,4,4,7.6,4.5,0.07,1.4,0.5,1247,1622,76.9,19426,4419,696,792,87.9,355,455,78,123,221,55.7,7,7.7,6.6,-0.7,75,71,68,13,173,45,27,14,24,7,14,43,32.6,29,15,0,15,20,65,7,0
Wilfried Zaha,ci CIV,"FW,MF",Crystal Palace,26,1992,36.4,4,61,17,27.9,1.67,0.47,0.07,0.24,16.2,0,0,0,5.2,5.2,0.08,-1.2,-1.2,928,1188,78.1,13537,3574,547,648,84.4,277,335,82.7,63,87,72.4,3,4,4.7,-1,36,62,70,12,146,43,19,18,12,13,12,49,24.5,37,22,2,20,18,61,4,0
Dele Alli,eng ENG,"MF,FW",Tottenham,23,1996,20.5,8,41,18,43.9,2,0.88,0.17,0.39,14.9,0,1,1,8.1,7.3,0.18,-0.1,-0.3,632,841,75.1,8846,2173,345,414,83.3,212,252,84.1,28,56,50,4,3.5,2.9,0.5,23,43,22,0,69,34,16,11,20,3,13,37,35.1,24,35,3,32,17,51,17,2
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,25,1994,33.6,4,56,17,30.4,1.67,0.51,0.07,0.24,16.2,0,0,0,6.7,6.7,0.12,-2.7,-2.7,681,884,77,9262,2156,396,457,86.7,192,248,77.4,37,65,56.9,2,3,1.9,-1,31,40,21,5,77,60,39,32,20,8,19,52,36.5,33,25,1,24,31,91,25,0
Felipe Anderson,br BRA,"MF,FW",West Ham,26,1993,16.6,1,23,8,34.8,1.38,0.48,0.04,0.13,17.1,0,0,0,2.5,2.5,0.11,-1.5,-1.5,727,945,76.9,11062,3031,440,527,83.5,207,257,80.5,58,89,65.2,4,3.1,2.8,0.9,25,56,34,4,100,46,32,20,21,5,11,47,23.4,36,19,1,18,22,68,11,0
Christian Atsu,gh GHA,"MF,FW",Newcastle Utd,27,1992,8.3,0,5,1,20,0.6,0.12,0,0,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,167,218,76.6,2225,540,95,109,87.2,40,51,78.4,10,21,47.6,3,1.3,0.9,1.7,13,5,10,5,16,10,8,5,5,0,5,14,35.7,9,19,0,19,5,15,9,0
Harvey Barnes,eng ENG,"MF,FW",Leicester City,21,1997,23.1,6,61,28,45.9,2.64,1.21,0.1,0.21,16.7,0,0,0,8.1,8.1,0.13,-2.1,-2.1,562,745,75.4,7466,1731,352,418,84.2,150,194,77.3,21,39,53.8,8,4.1,3,3.9,35,30,34,2,90,16,11,7,7,2,5,23,21.7,18,13,3,10,8,24,6,1
Borja Bastón,es ESP,"MF,FW",Aston Villa,26,1992,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,4,6,66.7,75,25,2,3,66.7,2,2,100,0,0,,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,2,0,2,1,0,1,0,1,0,1
