,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Gylfi Sigurðsson,is ISL,"MF,FW",Everton,27,1989,25.1,4,39,12,30.8,1.55,0.48,0.1,0.33,20.3,3,0,0,3,3,0.08,1,1,562,861,65.3,8212,2826,297,360,82.5,176,234,75.2,45,171,26.3,3,3.9,4.6,-0.9,38,58,10,1,77,38,26,15,14,9,16,57,28.1,41,37,7,30,34,72,36,0
Jerome Sinclair,eng ENG,"MF,FW",Watford,20,1996,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,7,8,87.5,91,40,4,4,100,2,3,66.7,0,0,,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
Moussa Sissoko,fr FRA,"MF,FW",Tottenham,27,1989,15.6,1,19,7,36.8,1.22,0.45,0.05,0.14,15.8,0,0,0,2.2,2.2,0.12,-1.2,-1.2,740,900,82.2,11433,2703,410,451,90.9,270,336,80.4,42,61,68.9,1,2.2,2.5,-1.2,27,69,21,3,85,23,17,14,5,4,9,12,75,3,11,1,10,9,32,23,1
Ramadan Sobhi,eg EGY,"MF,FW",Stoke City,20,1997,13.8,2,13,6,46.2,0.95,0.44,0.15,0.33,18.2,0,0,0,1.2,1.2,0.1,0.8,0.8,340,452,75.2,4533,1308,206,250,82.4,99,130,76.2,11,19,57.9,0,1,1.1,-1,15,19,15,2,38,32,21,17,14,1,11,36,30.6,25,14,0,14,14,46,14,0
Junior Stanislas,eng ENG,"MF,FW",Bournemouth,27,1989,14.3,5,44,19,43.2,3.08,1.33,0.09,0.21,21.7,8,1,1,3.9,3.1,0.07,1.1,0.9,398,571,69.7,6282,2111,207,268,77.2,151,205,73.7,24,54,44.4,2,1.9,1.8,0.1,24,40,21,2,63,16,8,8,4,4,7,15,46.7,8,21,6,15,6,22,15,0
Dušan Tadić,rs SRB,"MF,FW",Southampton,28,1988,31,6,39,12,30.8,1.26,0.39,0.13,0.42,17.2,1,1,1,5.8,5,0.13,0.2,0,872,1255,69.5,13009,3610,479,572,83.7,274,398,68.8,64,145,44.1,3,5.7,4.7,-2.7,59,68,56,14,167,46,29,16,22,8,11,35,31.4,24,38,2,36,19,65,29,1
Nikola Vlašić,hr CRO,"MF,FW",Everton,19,1997,6.4,0,5,1,20,0.78,0.16,0,0,17.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,152,211,72,1824,477,101,128,78.9,31,43,72.1,4,7,57.1,0,0.8,0.7,-0.8,11,5,7,1,16,9,5,3,6,0,2,9,22.2,7,14,2,12,9,18,10,0
Willian,br BRA,"MF,FW",Chelsea,28,1988,21,6,53,23,43.4,2.52,1.1,0.09,0.22,19.8,5,1,1,5.5,4.7,0.09,0.5,0.3,768,1038,74,12180,2766,393,471,83.4,258,336,76.8,68,125,54.4,7,5.3,4.3,1.7,61,54,44,4,131,22,17,7,12,3,0,16,0,16,13,1,12,10,32,10,0
Mame Biram Diouf,sn SEN,"FW,DF",Stoke City,29,1987,28.8,6,59,19,32.2,2.05,0.66,0.1,0.32,13.5,0,0,0,6.5,6.5,0.11,-0.5,-0.5,347,630,55.1,4835,1503,213,320,66.6,108,201,53.7,10,38,26.3,2,1.9,0.9,0.1,20,26,7,2,43,48,36,26,15,7,8,21,38.1,13,22,0,22,14,62,76,1
Brahim Díaz,ma MAR,"FW,DF",Manchester City,17,1999,0.6,0,3,1,33.3,4.91,1.64,0,0,13.8,0,0,0,0.5,0.5,0.16,-0.5,-0.5,25,29,86.2,326,45,16,17,94.1,8,10,80,0,0,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,3,0,3,1,2,0,0
Callum Hudson-Odoi,eng ENG,"FW,DF",Chelsea,16,2000,0.3,0,2,1,50,6.21,3.1,0,0,19.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,12,18,66.7,222,30,5,6,83.3,5,7,71.4,1,3,33.3,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Charlie Adam,sct SCO,MF,Stoke City,31,1985,4.6,0,9,2,22.2,1.97,0.44,0,0,31.5,3,0,1,1.6,0.9,0.09,-1.6,-0.9,168,285,58.9,3889,1505,51,66,77.3,72,96,75,45,107,42.1,0,1.2,1.4,-1.2,6,28,7,4,30,9,5,2,5,2,5,17,29.4,12,2,0,2,9,18,11,2
Ibrahim Afellay,nl NED,MF,Stoke City,31,1986,1.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,72,82,87.8,1326,256,29,32,90.6,35,39,89.7,6,8,75,0,0,0,0,0,6,0,0,4,3,3,0,3,0,1,2,50,1,1,0,1,1,4,1,0
Joe Allen,wls WAL,MF,Stoke City,27,1990,34.9,2,24,4,16.7,0.69,0.11,0.08,0.5,18.4,0,0,0,1.8,1.8,0.08,0.2,0.2,1114,1403,79.4,17666,5350,547,620,88.2,437,531,82.3,75,128,58.6,6,2.8,2.6,3.2,31,116,26,4,165,96,62,41,43,12,27,87,31,60,43,9,34,58,154,68,1
Harry Arter,ie IRL,MF,Bournemouth,27,1989,10.7,1,11,1,9.1,1.03,0.09,0.09,1,26.1,0,0,0,0.3,0.3,0.03,0.7,0.7,513,592,86.7,9905,2945,175,194,90.2,275,300,91.7,58,88,65.9,0,0.2,0.4,-0.2,3,69,6,0,68,19,16,10,7,2,6,23,26.1,17,18,5,13,9,28,6,0
Tiemoué Bakayoko,fr FRA,MF,Chelsea,22,1994,23.6,2,40,8,20,1.69,0.34,0.05,0.25,18.5,0,0,0,3.2,3.2,0.08,-1.2,-1.2,957,1116,85.8,14377,3737,511,571,89.5,326,377,86.5,58,76,76.3,2,1.2,0.9,0.8,16,88,9,1,123,64,41,25,32,7,16,48,33.3,32,23,6,17,37,101,38,4
Beni Baningime,cd COD,MF,Everton,18,1998,2.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,67,82,81.7,1088,304,28,34,82.4,30,35,85.7,3,5,60,0,0,0,0,0,6,1,0,11,6,2,1,2,3,0,4,0,4,5,1,4,2,8,2,0
Ross Barkley,eng ENG,MF,Chelsea,23,1993,1.4,0,2,1,50,1.4,0.7,0,0,13.1,0,0,0,0.8,0.8,0.38,-0.8,-0.8,39,53,73.6,560,96,23,28,82.1,9,13,69.2,3,6,50,0,0.1,0,-0.1,2,0,2,1,4,0,0,0,0,0,0,1,0,1,3,1,2,0,0,2,0
Gareth Barry,eng ENG,MF,West Brom,36,1981,21.4,1,16,6,37.5,0.75,0.28,0.06,0.17,18.2,1,0,0,1.6,1.6,0.1,-0.6,-0.6,721,963,74.9,13209,4410,323,374,86.4,282,357,79,100,193,51.8,1,1.4,1.3,-0.4,17,113,15,3,126,35,19,17,14,4,15,45,33.3,30,19,11,8,14,49,34,0
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,26,1990,31.5,2,54,18,33.3,1.72,0.57,0.04,0.11,21.7,6,0,0,3.5,3.5,0.07,-1.5,-1.5,660,1027,64.3,11965,4451,308,382,80.6,214,313,68.4,107,259,41.3,8,4.7,5.1,3.3,67,40,30,16,75,43,27,16,19,8,20,47,42.6,27,21,1,20,34,77,43,0
Muhamed Bešić,ba BIH,MF,Everton,24,1992,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,27,28,96.4,526,84,12,12,100,10,10,100,5,6,83.3,0,0,0,0,1,1,1,0,2,1,1,1,0,0,1,3,33.3,2,2,2,0,0,1,1,0
Philip Billing,dk DEN,MF,Huddersfield,21,1996,8.5,0,7,2,28.6,0.82,0.24,0,0,29.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,285,394,72.3,4747,1279,142,168,84.5,107,140,76.4,25,62,40.3,0,0.5,0.4,-0.5,2,22,4,2,26,25,16,11,11,3,8,22,36.4,14,17,1,16,18,43,19,0
Jeremie Boga,ci CIV,MF,Chelsea,20,1997,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,4,4,100,33,7,1,1,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Robbie Brady,ie IRL,MF,Burnley,25,1992,14.2,1,24,6,25,1.69,0.42,0.04,0.17,22.8,5,0,0,1.2,1.2,0.05,-0.2,-0.2,354,593,59.7,6916,2653,166,206,80.6,109,179,60.9,72,168,42.9,2,2.1,2.6,-0.1,26,39,18,6,54,32,21,14,17,1,8,28,28.6,20,17,3,14,7,39,29,0
Leon Britton,eng ENG,MF,Swansea City,34,1982,3.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,127,138,92,2255,403,49,53,92.5,70,74,94.6,7,8,87.5,0,0,0,0,0,6,0,0,11,6,5,0,5,1,5,8,62.5,3,3,1,2,1,7,1,0
Yohan Cabaye,fr FRA,MF,Crystal Palace,31,1986,26.4,0,38,11,28.9,1.44,0.42,0,0,24.6,4,0,0,2.3,2.3,0.06,-2.3,-2.3,1118,1438,77.7,18909,7090,539,603,89.4,416,493,84.4,117,266,44,1,4.1,3.8,-3.1,42,124,18,0,138,70,44,39,28,3,24,97,24.7,73,47,4,43,79,149,29,4
Emre Can,de GER,MF,Liverpool,23,1994,23.2,3,27,8,29.6,1.16,0.34,0.11,0.38,21.2,1,0,0,1.8,1.8,0.07,1.2,1.2,1338,1571,85.2,23098,5472,600,662,90.6,591,668,88.5,117,179,65.4,4,3,2.4,1,25,136,23,2,137,67,54,32,29,6,18,43,41.9,25,32,4,28,28,95,37,1
Étienne Capoue,fr FRA,MF,Watford,29,1988,17.1,1,23,3,13,1.34,0.18,0.04,0.33,28.1,0,0,0,0.8,0.8,0.04,0.2,0.2,723,883,81.9,12866,3380,342,390,87.7,271,320,84.7,91,135,67.4,0,0.6,1.2,-0.6,8,75,9,1,74,43,26,15,25,3,19,47,40.4,28,21,1,20,43,86,38,0
Michael Carrick,eng ENG,MF,Manchester Utd,36,1981,1.2,0,2,1,50,1.65,0.83,0,0,14.7,0,0,0,0.5,0.5,0.26,-0.5,-0.5,84,99,84.8,1602,837,40,41,97.6,29,29,100,14,25,56,0,0.1,0.2,-0.1,1,17,0,0,15,1,1,0,1,0,0,1,0,1,2,0,2,1,2,3,0
Tom Carroll,eng ENG,MF,Swansea City,25,1992,28.6,0,20,3,15,0.7,0.11,0,0,23.8,5,0,0,0.9,0.9,0.05,-0.9,-0.9,1235,1577,78.3,21581,7289,575,640,89.8,472,566,83.4,147,283,51.9,4,4.1,4.1,-0.1,47,161,31,8,179,53,33,22,23,8,14,53,26.4,39,37,8,29,29,82,18,1
Nathaniel Chalobah,eng ENG,MF,Watford,22,1994,5,0,12,4,33.3,2.42,0.81,0,0,22.5,0,0,0,0.8,0.8,0.07,-0.8,-0.8,132,184,71.7,2235,836,61,76,80.3,51,67,76.1,12,28,42.9,0,0,0.1,0,1,18,1,0,22,9,6,2,6,1,2,5,40,3,6,5,1,6,15,6,0
Tom Cleverley,eng ENG,MF,Watford,27,1989,21.1,1,15,3,20,0.71,0.14,0.07,0.33,21.5,1,0,1,1.9,1.1,0.07,-0.9,-0.1,964,1238,77.9,15750,4846,481,542,88.7,346,419,82.6,89,181,49.2,2,1.6,1.8,0.4,29,132,17,2,136,48,26,25,16,7,21,52,40.4,31,11,1,10,25,73,21,0
Sam Clucas,eng ENG,MF,Swansea City,26,1990,22.7,3,20,7,35,0.88,0.31,0.15,0.43,17.5,0,0,0,2.6,2.6,0.14,0.4,0.4,689,872,79,11783,2786,327,375,87.2,274,333,82.3,68,117,58.1,1,1.3,1.1,-0.3,15,46,3,1,61,34,19,21,11,2,10,29,34.5,19,31,7,24,29,63,34,1
Lewis Cook,eng ENG,MF,Bournemouth,20,1997,24.9,0,18,2,11.1,0.72,0.08,0,0,27.3,0,0,0,0.5,0.5,0.03,-0.5,-0.5,989,1263,78.3,19152,6531,394,486,81.1,428,494,86.6,147,229,64.2,2,1.6,2.2,0.4,28,176,27,5,173,67,35,37,30,0,26,69,37.7,43,33,12,21,35,102,25,2
Jack Cork,eng ENG,MF,Burnley,28,1989,38,2,15,5,33.3,0.39,0.13,0.13,0.4,17.6,0,0,0,2.2,2.2,0.15,-0.2,-0.2,1281,1608,79.7,21883,5582,583,680,85.7,499,597,83.6,136,208,65.4,1,1.1,1,-0.1,19,127,11,1,165,60,44,25,27,8,20,62,32.3,42,36,15,21,41,101,86,1
Josh Cullen,ie IRL,MF,West Ham,21,1996,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,3,4,75,21,7,1,2,50,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,2,0,0
Tom Davies,eng ENG,MF,Everton,19,1998,21.1,2,21,3,14.3,0.99,0.14,0.1,0.67,21.8,0,0,0,1.5,1.5,0.07,0.5,0.5,547,715,76.5,8064,2003,298,347,85.9,174,223,78,33,67,49.3,1,0.6,1,0.4,10,45,13,1,62,30,20,14,11,5,12,54,22.2,42,19,5,14,24,54,21,0
Steven Davis,nir NIR,MF,Southampton,32,1985,16.9,3,13,4,30.8,0.77,0.24,0.23,0.75,19.8,0,0,0,0.9,0.9,0.07,2.1,2.1,886,1092,81.1,14571,4068,424,472,89.8,349,403,86.6,78,134,58.2,0,1.1,1.9,-1.1,18,101,20,3,129,30,21,10,17,3,11,30,36.7,19,22,6,16,15,45,24,1
Kevin De Bruyne,be BEL,MF,Manchester City,26,1991,34.1,8,93,39,41.9,2.72,1.14,0.09,0.21,24.3,15,0,0,5.1,5.1,0.06,2.9,2.9,2351,3008,78.2,39772,11181,1154,1322,87.3,885,1090,81.2,221,376,58.8,16,11.1,11.7,4.9,105,258,119,11,388,62,43,23,25,14,23,80,28.8,57,45,2,43,25,87,14,2
Steven Defour,be BEL,MF,Burnley,29,1988,22.2,1,19,7,36.8,0.86,0.32,0.05,0.14,25.9,4,0,0,0.8,0.8,0.04,0.3,0.3,865,1062,81.5,15646,4797,365,412,88.6,389,443,87.8,93,161,57.8,1,1.1,1.5,-0.1,19,89,25,10,117,33,22,12,18,3,10,46,21.7,36,35,7,28,46,79,25,0
Mousa Dembélé,be BEL,MF,Tottenham,30,1987,20.9,0,11,3,27.3,0.53,0.14,0,0,24.7,0,0,0,0.4,0.4,0.03,-0.4,-0.4,1316,1429,92.1,21995,7009,625,668,93.6,592,630,94,81,97,83.5,0,0.7,1.1,-0.7,18,177,4,1,211,36,24,19,11,6,9,37,24.3,28,20,0,20,33,69,15,0
Mohamed Diamé,sn SEN,MF,Newcastle Utd,30,1987,22.7,2,20,6,30,0.88,0.26,0.1,0.33,21,0,0,0,1.4,1.4,0.07,0.6,0.6,666,825,80.7,10938,3060,333,388,85.8,237,282,84,60,91,65.9,0,0.7,0.5,-0.7,13,64,7,1,81,89,64,33,48,8,16,62,25.8,46,44,7,37,48,137,30,2
Abdoulaye Doucouré,ml MLI,MF,Watford,24,1993,36.9,7,47,17,36.2,1.27,0.46,0.15,0.41,20.7,0,0,0,3.5,3.5,0.08,3.5,3.5,1885,2278,82.7,30698,7812,907,1054,86.1,787,897,87.7,132,193,68.4,3,2.3,2.9,0.7,40,152,30,3,222,79,52,28,42,9,27,79,34.2,52,43,10,33,54,133,61,0
Danny Drinkwater,eng ENG,MF,Chelsea,27,1990,5.9,1,6,2,33.3,1.02,0.34,0.17,0.5,22.7,0,0,0,0.2,0.2,0.03,0.8,0.8,331,389,85.1,5287,1189,173,192,90.1,119,133,89.5,28,36,77.8,0,0.3,0.8,-0.3,5,39,3,0,32,15,10,6,8,1,3,17,17.6,14,10,2,8,8,23,7,0
Mohamed Elneny,eg EGY,MF,Arsenal,25,1992,9.6,0,8,1,12.5,0.83,0.1,0,0,24.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,789,852,92.6,12227,3138,430,454,94.7,296,313,94.6,42,53,79.2,1,0.9,1,0.1,10,73,6,0,74,12,6,6,3,3,6,10,60,4,11,0,11,10,22,12,2
Cesc Fàbregas,es ESP,MF,Chelsea,30,1987,25.6,2,38,10,26.3,1.48,0.39,0.05,0.2,19.2,2,0,0,2.4,2.4,0.06,-0.4,-0.4,1873,2351,79.7,33048,13012,845,949,89,722,853,84.6,235,401,58.6,4,6.8,7.6,-2.8,89,249,74,8,348,68,49,30,29,9,18,69,26.1,51,25,4,21,22,90,26,2
Marouane Fellaini,be BEL,MF,Manchester Utd,29,1987,6.9,4,10,7,70,1.45,1.01,0.4,0.57,8.5,0,0,0,3.5,3.5,0.35,0.5,0.5,336,398,84.4,4620,1237,185,212,87.3,101,120,84.2,17,27,63,0,0.2,0.2,-0.2,5,25,0,0,19,15,8,6,8,1,2,11,18.2,9,12,3,9,14,29,19,1
Leroy Fer,nl NED,MF,Swansea City,27,1990,15.5,1,12,3,25,0.77,0.19,0.08,0.33,14.6,0,0,0,1.6,1.6,0.14,-0.6,-0.6,515,643,80.1,9132,1993,234,278,84.2,199,235,84.7,65,98,66.3,1,1,0.8,0,10,52,9,1,66,44,32,18,21,5,13,30,43.3,17,18,4,14,12,56,24,3
Fernandinho,br BRA,MF,Manchester City,32,1985,32,5,47,19,40.4,1.47,0.59,0.11,0.26,23.1,0,0,0,2.1,2.1,0.04,2.9,2.9,2686,2999,89.6,42640,13288,1335,1407,94.9,1083,1190,91,167,235,71.1,3,2.8,5,0.2,20,318,31,0,320,62,35,22,28,12,24,65,36.9,41,38,6,32,47,109,68,2
Sam Field,eng ENG,MF,West Brom,19,1998,6,1,5,1,20,0.84,0.17,0.2,1,11.4,0,0,0,0.5,0.5,0.11,0.5,0.5,128,177,72.3,2253,806,65,83,78.3,47,57,82.5,13,25,52,0,0.2,0.2,-0.2,4,13,8,1,32,14,11,8,4,2,3,10,30,7,6,1,5,11,25,8,0
Darren Fletcher,sct SCO,MF,Stoke City,33,1984,24.7,1,11,2,18.2,0.45,0.08,0.09,0.5,25.8,0,0,0,0.4,0.4,0.03,0.6,0.6,843,1105,76.3,16453,5280,309,374,82.6,362,420,86.2,138,241,57.3,1,1.6,1.9,-0.6,23,77,18,3,100,47,26,23,20,4,15,55,27.3,40,13,3,10,26,73,33,3
Jay Fulton,sct SCO,MF,Swansea City,23,1994,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,5,8,62.5,83,10,1,2,50,4,6,66.7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Idrissa Gana Gueye,sn SEN,MF,Everton,27,1989,30.6,2,23,7,30.4,0.75,0.23,0.09,0.29,25.3,0,0,0,1.5,1.5,0.07,0.5,0.5,1338,1593,84,21000,5702,706,793,89,479,558,85.8,93,132,70.5,1,0.8,1,0.2,16,152,12,3,128,117,93,65,41,11,35,86,40.7,51,59,9,50,62,179,48,1
Dan Gosling,eng ENG,MF,Bournemouth,27,1990,21.6,2,22,8,36.4,1.02,0.37,0.09,0.25,16.3,0,0,0,2.1,2.1,0.09,-0.1,-0.1,825,1074,76.8,14011,4628,387,476,81.3,345,427,80.8,75,120,62.5,1,0.9,1.6,0.1,17,104,14,1,134,50,25,19,26,5,19,68,27.9,49,36,8,28,25,75,35,0
İlkay Gündoğan,de GER,MF,Manchester City,26,1990,16.9,4,34,10,29.4,2.02,0.59,0.09,0.3,19.6,1,1,1,3,2.3,0.07,1,0.7,1291,1414,91.3,18213,4535,754,803,93.9,402,428,93.9,61,82,74.4,1,1.7,2.1,-0.7,20,122,29,0,154,27,15,8,14,5,9,37,24.3,28,14,1,13,16,43,12,0
Rekeem Harper,eng ENG,MF,West Brom,17,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,4,5,80,82,30,1,1,100,2,3,66.7,1,1,100,0,0.1,0,-0.1,2,0,0,0,1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Isaac Hayden,jm JAM,MF,Newcastle Utd,22,1995,15.3,1,14,9,64.3,0.92,0.59,0.07,0.11,22.1,0,0,0,1,1,0.07,0,0,405,550,73.6,6070,1768,226,279,81,142,183,77.6,20,41,48.8,0,0.6,1.2,-0.6,11,37,12,5,45,40,23,23,16,1,12,34,35.3,22,21,6,15,23,63,43,0
Jordan Henderson,eng ENG,MF,Liverpool,27,1990,24.1,1,15,3,20,0.62,0.12,0.07,0.33,23.8,1,0,0,1.2,1.2,0.08,-0.2,-0.2,1769,2117,83.6,33580,9305,709,771,92,814,949,85.8,216,334,64.7,1,1.8,2.4,-0.8,25,245,29,3,249,51,33,13,32,6,18,52,34.6,34,33,2,31,31,82,27,0
Ander Herrera,es ESP,MF,Manchester Utd,27,1989,14.1,0,12,1,8.3,0.85,0.07,0,0,25.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4,917,1064,86.2,13708,3978,471,513,91.8,307,342,89.8,66,118,55.9,2,1.6,1.6,0.4,11,89,12,1,81,56,29,32,20,4,20,69,29,49,33,6,27,34,90,22,2
Jonathan Hogg,eng ENG,MF,Huddersfield,28,1988,26.6,0,12,2,16.7,0.45,0.08,0,0,24,0,0,0,0.4,0.4,0.03,-0.4,-0.4,1206,1423,84.8,20877,5948,530,596,88.9,534,598,89.3,105,154,68.2,0,0.4,0.9,-0.4,9,110,8,1,138,93,64,29,59,5,26,89,29.2,63,51,12,39,69,162,48,0
